"Product Grid Extended","Product Grid Extended"
"Enable Extended Grid","Enable Extended Grid"
"Editing Mode","Editing Mode"
"Single Cell (save on blur)","Single Cell (save on blur)"
"Multi Cell (Save / Cancel banner)","Multi Cell (Save / Cancel banner)"
"Warn About Unsaved Changes","Warn About Unsaved Changes"
"Column Behavior","Column Behavior"
"Related / Up-sell / Cross-sell Display Count","Related / Up-sell / Cross-sell Display Count"
"Low-stock Threshold","Low-stock Threshold"
"Qty Sold Indexer","Qty Sold Indexer"
"Enable Qty Sold Column","Enable Qty Sold Column"
"Date From","Date From"
"Date To","Date To"
"Order Statuses to Count","Order Statuses to Count"
"Subtract Refunded Quantities","Subtract Refunded Quantities"
"Save Behavior","Save Behavior"
"Auto-flip Stock Status on Qty Change","Auto-flip Stock Status on Qty Change"
"Show Qty as Integer","Show Qty as Integer"
"Export","Export"
"Export Visible Columns Only","Export Visible Columns Only"
"Open Extended Grid","Open Extended Grid"
"Configuration","Configuration"
"Inline Edit Products","Inline Edit Products"
"Edit Tier Prices","Edit Tier Prices"
"Edit Product Gallery","Edit Product Gallery"
"In Stock","In Stock"
"Out of Stock","Out of Stock"
"Manage Stock Disabled","Manage Stock Disabled"
"No Backorders","No Backorders"
"Allow Qty Below 0","Allow Qty Below 0"
"Allow Qty Below 0 and Notify Customer","Allow Qty Below 0 and Notify Customer"
"No Categories","No Categories"
"You have unsaved edits in the grid. Continuing will discard them. Continue?","You have unsaved edits in the grid. Continuing will discard them. Continue?"
"Unsaved changes","Unsaved changes"
"%1 product(s) updated.","%1 product(s) updated."
"Product %1: %2","Product %1: %2"
"%1 tiers","%1 tiers"
"Add","Add"
"Save","Save"
"Cancel","Cancel"
"Save failed","Save failed"
"Server error: ","Server error: "
"Default","Default"
"Extra","Extra"
"Attributes","Attributes"
"Editable","Editable"
"Filterable","Filterable"
"Columns","Columns"
"Website","Website"
"Customer Group","Customer Group"
"Qty","Qty"
"Type","Type"
"Value","Value"
"Fixed","Fixed"
"Discount %","Discount %"
"Remove","Remove"
"Add Tier","Add Tier"
"All Websites","All Websites"
"All Groups","All Groups"
"Missing product_id.","Missing product_id."
"Product not found.","Product not found."
"Product %1 does not exist.","Product %1 does not exist."
"Product Qty Sold","Product Qty Sold"
"Aggregate qty sold per product into panth_product_grid_qty_sold for the admin grid column.","Aggregate qty sold per product into panth_product_grid_qty_sold for the admin grid column."
